CH1	CH2	CH3	CH4	CH5
-0.0023346	-0.0075531	0.025681	0.00032043	0.0028839
0.010025	-0.010025	0.09874	0.0027924	-0.0045319
0.024536	-0.0044403	0.10226	0.0023346	0.0043488
0.026459	-0.0094757	-0.039276	-0.0043945	0.0079651
0.024536	-0.0064545	-0.19098	-0.0045319	-4.5776e-05
0.016296	-0.0018768	-0.23753	0.00022888	0.0091095
0.0077362	-0.010483	-0.096451	0.00032043	-0.0017853
0.00032043	-0.0040741	-0.093613	-0.00054932	0.0085602
-0.0052643	0.0027008	-0.032822	-0.00041199	-0.0019684
0.00091553	-0.0055389	-0.0077362	-0.0020599	0.0059509
0.0091095	-0.0032043	0.0092468	0.00032043	0.0078735
0.013962	0.0042572	-0.015427	0.004715	0.00032043
0.0087433	-0.0067291	-0.066238	0.0020599	0.0076447
0.0045776	-0.0103	-0.050995	0.0036163	-0.0035248
-0.0066376	-0.0021057	0.011856	0.0026093	0.006546
-0.012634	-0.0049896	-0.021881	-0.0031586	-0.003479
-0.012909	-0.010849	-0.067062	-0.0023346	0.0079193
-0.013275	-0.0037079	-0.010666	0.0035248	0.0075531
-0.012863	-0.0033875	0.091599	0.0081024	-0.00091553
-0.0082855	4.5776e-05	0.10991	0.0059052	-0.0044861
-0.00041199	-0.0037079	0.12534	0.0014648	0.0081482
-0.0037079	-0.0093842	0.14021	0.00013733	-0.0029755
-0.010162	-0.0042572	0.068527	0.00032043	0.0077362
-0.016846	-0.0032501	-0.016891	0.0018768	0.0091095
-0.0168	-0.0033417	-0.16667	-0.002243	0.0040741
-0.01918	-0.0062256	-0.18842	-0.0061798	0.013321
-0.01918	-0.017899	-0.084	-0.0076904	0.0022888
-0.025635	-0.00737	-0.033463	-0.0026093	0.0079193
-0.015472	0.0014648	-0.072464	0.0020599	0.0043488
0.0016479	-0.0042572	-0.041977	0.0018768	0.00032043
0.038269	-0.010025	0.023575	-0.0039825	0.00737
0.062714	-0.018906	0.056488	0.00022888	-0.00022888
0.067703	-0.0079651	0.09993	-0.00082397	0.0025635
0.060608	-0.0048065	0.13792	-0.003891	0.011169
0.041748	-0.0096588	0.11156	0.0014191	0.0027008
0.015381	-0.0071869	0.086746	0.0072784	0.0055389
-0.0087891	-0.0059052	0.12378	0.0051727	0.0081482
-0.020004	0.0041656	0.18759	0.003067	0.00032043
-0.015015	-0.0027924	0.10144	0.0017853	0.0049896
-0.014191	-0.0066376	-0.064407	-0.0039368	0.0052643
-0.01593	0.0017853	-0.16653	0.0027008	-0.0026093
-0.014328	-0.0053101	-0.2661	0.0077362	0.0027008
-0.0084686	-0.010117	-0.25951	0.0046234	-0.0043488
-0.0030212	-0.0051727	-0.13792	0.0032501	-0.011398
-0.0041199	-0.010391	0.026321	-0.0019226	0.0027924
-0.0065002	-0.0031586	0.10597	0.00032043	-0.004303
-0.0032501	-0.0072784	0.14186	-0.0011444	-0.00036621
-0.0036621	0.0014191	0.15285	-4.5776e-05	0.0067291
-0.0012817	-0.0055389	0.1273	-0.0017853	0.0011444
-0.0032043	-0.0086517	0.042618	-0.001236	-0.0024261
-0.0023804	0.0017853	0.018997	0.003891	0.0026093
-0.0046692	-0.0023346	-0.036301	0.00027466	-0.00050354
-0.0084229	-0.0072327	-0.10986	-0.0072327	0.010574
-0.016205	0.00032043	-0.12694	-0.0040741	0.0016937
-0.006958	-0.010666	-0.15642	0.0039368	0.0072784
-0.0055847	-0.013412	-0.15614	-0.00013733	0.0091095
-0.0054932	-0.0093842	-0.061752	0.0011444	0.0058136
0	-0.005127	0.16617	0.0016479	0.0075531
0.0090179	0.0013275	0.34923	-0.0026093	0.0015106
0.0054932	-0.010757	0.29311	-4.5776e-05	0.010941
-0.0020599	-0.0035706	0.057907	0.0050354	0.0020599
-0.0059967	-0.0072327	-0.16832	-0.0041199	0.013504
-0.011581	-0.0089264	-0.20531	-0.00013733	0.0056305
-0.011078	-0.012131	-0.20874	0.0059967	0.011856
-0.0074158	-0.00032043	-0.30309	9.1553e-05	0.0032501
-0.0027924	-0.0009613	-0.25594	0.00032043	0.0070038
0.0048981	-0.0048065	-0.11137	-0.0035706	0.00032043
0.012268	0.0056305	0.031448	-0.0017395	0.0036621
0.0074158	0.005722	0.11513	-0.0011444	0.0039368
0.011078	-0.0084686	0.15642	-0.0029755	0.0076447
0.0051727	0.0023346	0.13737	-0.0026093	0.0032501
0.0049896	-0.0068207	0.10323	-0.00073242	0.0032501
0.0060883	-0.0085602	0.11655	0.00013733	0.0013275
0.0080566	-4.5776e-05	0.11453	0.0020599	0.0053558
0.0034332	-0.011398	0.079193	0.0039825	0.0075531
0.0035248	-0.0028839	0.0089264	0.0032501	-0.0011444
-0.003479	-0.0081024	-0.025177	0.0078735	0.011215
-0.0023804	-0.0014191	-0.033829	0.0050354	0.0046692
0.0044403	-0.0029755	-0.028564	0.0037079	0.0049896
0.009201	-0.016342	-0.00013733	0.0093842	0.0035248
0.016205	-0.0086517	0.05191	0.0036163	-0.0016937
0.010895	-0.011627	0.086334	0.0027008	0.0058136
0.0032501	-0.0035706	0.07576	-0.0011902	-0.0071869
0.0022888	-0.0015106	0.043304	-0.0009613	0.0071411
-0.0054474	-0.0097504	-0.058365	0.0020142	0
-0.01236	-0.011398	-0.18164	0.0027924	0.0090179
-0.01973	-4.5776e-05	-0.17226	-0.0048065	0.0013275
-0.018768	0.0017853	-0.081345	-0.0015564	0.010483
-0.014465	-0.0010529	0.030716	0.00032043	-0.00082397
-0.010437	-0.0084686	0.062302	0.0010529	0.0076447
-0.0040283	-0.00022888	-0.017899	0.004715	-0.0015106
0.0020142	-9.1553e-05	-0.060928	-0.0078278	0.004303
0.010254	-0.0084686	-0.0336	-0.0035248	-0.0063629
0.015244	0.0009613	0.014694	-0.00086975	0.003891
0.019043	-0.0051727	0.044998	0.0019226	0.0075531
0.016342	-0.0070038	0.051956	0.0017853	-0.0007782
0.013504	-0.0026093	0.045364	0.0037994	0.011948
